account_id,account_name,industry,annual_revenue,billing_state,billing_country,created_date,updated_at
ACC60227680,Corp0000 Inc,Construction,724638.58,CA,US,2026-02-12T07:38:33.080472,2026-04-21T07:38:33.080493
ACC25016525,Corp0001 Inc,Technology,203510.2,AZ,US,2025-05-23T07:38:33.080532,2025-11-17T07:38:33.080541
ACC42271333,Corp0002 Inc,Retail,980067.84,AZ,US,2026-01-16T07:38:33.080565,2025-11-09T07:38:33.080573
ACC41902683,Corp0003 Inc,Manufacturing,5643752.35,TN,US,2025-11-23T07:38:33.080616,2026-05-03T07:38:33.080624
ACC67988348,Corp0004 Inc,Financial Services,167995.63,OH,US,2024-04-17T07:38:33.080646,2026-03-22T07:38:33.080652
ACC67606524,Corp0005 Inc,Retail,168001.15,MN,US,2022-09-12T07:38:33.080673,2025-11-19T07:38:33.080679
ACC56872032,Corp0006 Inc,Manufacturing,6314919.91,MN,US,2023-02-08T07:38:33.080701,2025-11-12T07:38:33.080707
ACC36394225,Corp0007 Inc,Retail,1245278.13,TN,US,2023-01-03T07:38:33.080728,2026-01-25T07:38:33.080734
ACC83295001,Corp0008 Inc,Financial Services,104930.26,AZ,US,2022-06-21T07:38:33.080758,2026-01-26T07:38:33.080765
ACC53542596,Corp0009 Inc,Healthcare,794223.42,IN,US,2023-04-11T07:38:33.080788,2025-11-03T07:38:33.080795
ACC26144982,Corp0010 Inc,Education,106209.05,AZ,US,2025-04-14T07:38:33.080817,2026-01-05T07:38:33.080824
ACC98266175,Corp0011 Inc,Education,105719.06,MN,US,2026-04-13T07:38:33.080848,2025-12-12T07:38:33.080855
ACC30988308,Corp0012 Inc,Healthcare,435358.25,TX,US,2023-07-24T07:38:33.080877,2026-04-27T07:38:33.080883
ACC95169156,Corp0013 Inc,Manufacturing,10000.0,MN,US,2023-04-06T07:38:33.080902,2025-11-02T07:38:33.080908
ACC72396451,Corp0014 Inc,Manufacturing,10000.0,TX,US,2024-05-22T07:38:33.080927,2026-05-09T07:38:33.080932
ACC52206298,Corp0015 Inc,Healthcare,87153.39,MI,US,2024-12-13T07:38:33.080951,2026-03-04T07:38:33.080956
ACC62195478,Corp0016 Inc,Manufacturing,35395.42,TX,US,2025-09-28T07:38:33.080977,2025-11-27T07:38:33.080982
ACC44476904,Corp0017 Inc,Real Estate,503075.06,AZ,US,2025-09-03T07:38:33.081001,2026-03-12T07:38:33.081007
ACC15114808,Corp0018 Inc,Education,43649.71,TX,US,2026-01-01T07:38:33.081028,2025-11-29T07:38:33.081035
ACC98998142,Corp0019 Inc,Construction,15920.97,MN,US,2025-12-15T07:38:33.081064,2026-04-02T07:38:33.081071
ACC39274499,Corp0020 Inc,Education,5031846.33,IN,US,2023-07-23T07:38:33.081096,2026-04-05T07:38:33.081102
ACC12070304,Corp0021 Inc,Education,170833.97,FL,US,2025-12-19T07:38:33.081123,2026-01-04T07:38:33.081128
ACC01562182,Corp0022 Inc,Energy,307139.22,CA,US,2022-10-24T07:38:33.081148,2026-04-24T07:38:33.081153
ACC45592723,Corp0023 Inc,Retail,15529.61,NC,US,2024-07-06T07:38:33.081172,2025-11-03T07:38:33.081177
ACC90650551,Corp0024 Inc,Real Estate,90330.87,MN,US,2025-11-25T07:38:33.081197,2026-03-13T07:38:33.081202
ACC31876960,Corp0025 Inc,Education,334986.39,IL,US,2022-07-26T07:38:33.081223,2026-04-18T07:38:33.081229
ACC91115267,Corp0026 Inc,Manufacturing,26849.78,IN,US,2022-09-24T07:38:33.081249,2026-03-08T07:38:33.081255
ACC52906803,Corp0027 Inc,Financial Services,568863.64,IN,US,2024-10-25T07:38:33.081275,2026-04-03T07:38:33.081281
ACC75400895,Corp0028 Inc,Real Estate,80718.46,WA,US,2023-03-10T07:38:33.081301,2026-04-07T07:38:33.081307
ACC40399036,Corp0029 Inc,Healthcare,149733.53,OH,US,2023-02-23T07:38:33.081327,2026-01-30T07:38:33.081333
ACC97921714,Corp0030 Inc,Financial Services,80546.25,TN,US,2024-06-03T07:38:33.081353,2025-10-26T07:38:33.081359
ACC98882718,Corp0031 Inc,Logistics,10903085.37,NY,US,2025-03-02T07:38:33.081379,2026-01-17T07:38:33.081385
ACC38826320,Corp0032 Inc,Retail,261190.56,OH,US,2022-09-09T07:38:33.081404,2026-01-04T07:38:33.081410
ACC39591919,Corp0033 Inc,Retail,32356.76,CA,US,2025-09-04T07:38:33.081429,2025-12-13T07:38:33.081434
ACC47365352,Corp0034 Inc,Construction,1390383.02,CA,US,2023-05-16T07:38:33.081455,2025-12-28T07:38:33.081461
ACC69714996,Corp0035 Inc,Healthcare,23349.08,TN,US,2024-08-07T07:38:33.081489,2026-01-05T07:38:33.081496
ACC34421496,Corp0036 Inc,Financial Services,407471.87,WA,US,2023-02-04T07:38:33.081518,2026-02-26T07:38:33.081524
ACC48327634,Corp0037 Inc,Manufacturing,10000.0,MI,US,2023-08-19T07:38:33.081544,2025-11-07T07:38:33.081549
ACC10563876,Corp0038 Inc,Manufacturing,18837.93,AZ,US,2025-03-03T07:38:33.081575,2026-04-07T07:38:33.081581
ACC02480461,Corp0039 Inc,Construction,397807.09,NC,US,2024-01-17T07:38:33.081631,2026-03-13T07:38:33.081638
ACC16888728,Corp0040 Inc,Education,1175181.5,NC,US,2026-01-02T07:38:33.081663,2025-12-23T07:38:33.081670
ACC28486959,Corp0041 Inc,Logistics,378032.92,WA,US,2023-06-16T07:38:33.081692,2026-01-25T07:38:33.081696
ACC85874226,Corp0042 Inc,Education,212926.74,NC,US,2022-10-09T07:38:33.081707,2026-03-14T07:38:33.081711
ACC20223512,Corp0043 Inc,Financial Services,146941.91,TN,US,2025-01-31T07:38:33.081721,2026-04-28T07:38:33.081724
ACC43408379,Corp0044 Inc,Technology,13946.11,CO,US,2023-01-21T07:38:33.081734,2026-02-06T07:38:33.081737
ACC49238857,Corp0045 Inc,Energy,63596.36,MN,US,2025-01-18T07:38:33.081748,2026-01-10T07:38:33.081751
ACC24036414,Corp0046 Inc,Financial Services,106800.99,WA,US,2023-04-17T07:38:33.081761,2026-05-08T07:38:33.081764
ACC95604812,Corp0047 Inc,Real Estate,2222724.94,NY,US,2023-09-26T07:38:33.081774,2026-02-20T07:38:33.081777
ACC38294847,Corp0048 Inc,Technology,533511.86,OH,US,2025-01-10T07:38:33.081787,2025-11-29T07:38:33.081790
ACC09002862,Corp0049 Inc,Logistics,10000.0,IN,US,2025-08-23T07:38:33.081801,2025-12-21T07:38:33.081804
ACC94236977,Corp0050 Inc,Financial Services,513070.19,IL,US,2025-09-05T07:38:33.081814,2025-12-17T07:38:33.081817
ACC03693706,Corp0051 Inc,Manufacturing,124223.23,TX,US,2022-05-18T07:38:33.081827,2025-10-29T07:38:33.081830
ACC36875056,Corp0052 Inc,Healthcare,69296.94,MI,US,2022-08-27T07:38:33.081841,2026-02-16T07:38:33.081848
ACC04443841,Corp0053 Inc,Financial Services,911961.07,TN,US,2023-05-12T07:38:33.081859,2025-11-29T07:38:33.081862
ACC28544728,Corp0054 Inc,Healthcare,2109579.18,IL,US,2023-10-04T07:38:33.081872,2026-03-13T07:38:33.081876
ACC75634343,Corp0055 Inc,Retail,1728146.9,OH,US,2024-09-19T07:38:33.081886,2025-12-13T07:38:33.081889
ACC72090747,Corp0056 Inc,Logistics,50089.41,IN,US,2023-07-14T07:38:33.081899,2026-01-20T07:38:33.081902
ACC70263545,Corp0057 Inc,Construction,144578.12,TN,US,2023-03-14T07:38:33.081912,2026-02-19T07:38:33.081915
ACC34327379,Corp0058 Inc,Financial Services,520490.47,NY,US,2025-01-26T07:38:33.081929,2025-11-06T07:38:33.081932
ACC47952112,Corp0059 Inc,Financial Services,1888116.36,IL,US,2026-03-17T07:38:33.081942,2025-11-14T07:38:33.081945
ACC52956184,Corp0060 Inc,Technology,102914.26,WA,US,2024-09-09T07:38:33.081960,2026-01-14T07:38:33.081963
ACC43928104,Corp0061 Inc,Energy,185105.65,IN,US,2022-06-09T07:38:33.081974,2026-05-01T07:38:33.081977
ACC18902545,Corp0062 Inc,Energy,29358.28,NY,US,2023-05-10T07:38:33.081987,2026-02-06T07:38:33.081990
ACC44893667,Corp0063 Inc,Manufacturing,24528.4,IN,US,2025-02-06T07:38:33.082000,2026-03-08T07:38:33.082003
ACC61100452,Corp0064 Inc,Manufacturing,1362799.56,IL,US,2024-09-12T07:38:33.082013,2025-11-16T07:38:33.082016
ACC80227581,Corp0065 Inc,Healthcare,4042929.28,MI,US,2025-01-09T07:38:33.082026,2025-11-30T07:38:33.082029
ACC12107589,Corp0066 Inc,Logistics,232345.27,TX,US,2023-08-29T07:38:33.082039,2025-11-19T07:38:33.082042
ACC34254587,Corp0067 Inc,Energy,1996818.65,IL,US,2026-02-21T07:38:33.082052,2026-04-21T07:38:33.082055
ACC26850785,Corp0068 Inc,Financial Services,553087.81,NC,US,2023-05-18T07:38:33.082065,2025-11-29T07:38:33.082068
ACC42948944,Corp0069 Inc,Real Estate,73847.73,IN,US,2025-09-12T07:38:33.082078,2026-04-03T07:38:33.082081
ACC36298543,Corp0070 Inc,Real Estate,552821.92,TX,US,2024-01-08T07:38:33.082091,2026-01-03T07:38:33.082094
ACC80840564,Corp0071 Inc,Logistics,5815708.25,AZ,US,2025-12-30T07:38:33.082104,2026-03-23T07:38:33.082107
ACC21284067,Corp0072 Inc,Financial Services,249783.03,IL,US,2023-03-13T07:38:33.082117,2026-05-11T07:38:33.082120
ACC50994184,Corp0073 Inc,Retail,6133568.72,MI,US,2024-10-02T07:38:33.082130,2026-01-28T07:38:33.082133
ACC89253958,Corp0074 Inc,Healthcare,10000.0,IL,US,2023-12-17T07:38:33.082143,2026-02-16T07:38:33.082146
ACC95822594,Corp0075 Inc,Financial Services,1388597.79,NC,US,2023-04-07T07:38:33.082156,2026-01-11T07:38:33.082159
ACC35543165,Corp0076 Inc,Manufacturing,319366.34,CO,US,2023-12-25T07:38:33.082169,2026-05-03T07:38:33.082172
ACC34939761,Corp0077 Inc,Technology,147559.28,FL,US,2023-06-21T07:38:33.082188,2025-12-14T07:38:33.082191
ACC31809018,Corp0078 Inc,Financial Services,322391.38,TX,US,2023-08-27T07:38:33.082201,2025-10-26T07:38:33.082204
ACC93668883,Corp0079 Inc,Real Estate,10000.0,IN,US,2023-07-20T07:38:33.082214,2025-12-27T07:38:33.082217
ACC00699740,Corp0080 Inc,Healthcare,172932.43,NC,US,2025-05-09T07:38:33.082227,2025-11-18T07:38:33.082230
ACC20303424,Corp0081 Inc,Financial Services,548106.64,FL,US,2025-04-21T07:38:33.082243,2026-04-24T07:38:33.082246
ACC63645264,Corp0082 Inc,Technology,5156600.43,MN,US,2023-09-05T07:38:33.082256,2026-03-02T07:38:33.082259
ACC61435642,Corp0083 Inc,Retail,95173.76,NY,US,2024-02-17T07:38:33.082269,2026-01-11T07:38:33.082272
ACC13326083,Corp0084 Inc,Technology,53263.83,WA,US,2022-06-10T07:38:33.082282,2025-10-27T07:38:33.082285
ACC70649276,Corp0085 Inc,Real Estate,98369.48,NY,US,2022-09-19T07:38:33.082295,2026-03-27T07:38:33.082297
ACC66768696,Corp0086 Inc,Retail,1674130.08,AZ,US,2023-10-25T07:38:33.082311,2026-05-06T07:38:33.082314
